drug_name,avg_sentiment,review_count,pct_negative,pct_positive,price_median_unit,price_cv,generic_available,price_30day,shortage_total,shortage_active,has_active_shortage,adverse_total,adverse_unique_types,adverse_log_total,trial_total,trial_completed,trial_completion_rate,pubmed_total,pubmed_recent,pubmed_recency_ratio
metoprolol,-0.02986500000000001,100,0.5,0.4,0.05663,1.5666560351819028,1.0,1.6989,3.0,3.0,1.0,500,224,6.2166061010848646,200,125,0.625,150,13,0.08666666666666667
montelukast,-0.18131209964412812,281,0.5693950177935944,0.33451957295373663,0.06909,1.8670791157118052,1.0,2.0726999999999998,6.0,6.0,1.0,500,294,6.2166061010848646,200,139,0.695,150,51,0.34
naproxen,-0.28285,100,0.65,0.35,0.06459,2.4803285064509892,1.0,1.9376999999999998,0.0,0.0,0.0,500,309,6.2166061010848646,200,155,0.775,150,28,0.18666666666666668
omeprazole,-0.23187999999999998,100,0.6,0.4,0.1479,3.004425275789074,1.0,4.437,3.0,3.0,1.0,500,245,6.2166061010848646,200,144,0.72,150,5,0.03333333333333333
oxycodone,-0.28919,100,0.65,0.25,0.20157,3.312502643225186,1.0,6.0471,6.0,6.0,1.0,500,268,6.2166061010848646,200,122,0.61,150,41,0.2733333333333333
pantoprazole,-0.18959007352941176,272,0.5808823529411765,0.33455882352941174,0.04207,1.8411580405830303,1.0,1.2621,0.0,0.0,0.0,500,274,6.2166061010848646,200,133,0.665,150,31,0.20666666666666667
prednisone,-0.007047368421052636,95,0.42105263157894735,0.5263157894736842,0.05827,2.3738815008818652,1.0,1.7481,0.0,0.0,0.0,500,274,6.2166061010848646,200,87,0.435,150,27,0.18
rivaroxaban,-0.531355,100,0.8,0.05,3.39099,0.4067836352281899,1.0,101.7297,0.0,0.0,0.0,500,284,6.2166061010848646,200,116,0.58,150,59,0.3933333333333333
rosuvastatin,-0.409895,100,0.75,0.2,0.04246,0.38571964647261237,1.0,1.2738,0.0,0.0,0.0,500,324,6.2166061010848646,200,143,0.715,150,67,0.44666666666666666
semaglutide,-0.329585,100,0.65,0.2,0.0,0.0,0.0,1109.0,0.0,0.0,0.0,500,296,6.2166061010848646,200,80,0.4,150,120,0.8
sertraline,-0.172818,300,0.6066666666666667,0.37333333333333335,0.03621,4.7868444099660685,1.0,1.0863,0.0,0.0,0.0,500,274,6.2166061010848646,200,123,0.615,150,37,0.24666666666666667
simvastatin,-0.19286315789473682,95,0.5789473684210527,0.3684210526315789,0.05512,1.0166867247774656,1.0,1.6536,0.0,0.0,0.0,500,279,6.2166061010848646,200,134,0.67,150,24,0.16
spironolactone,-0.219465,100,0.65,0.35,0.0992,1.6992215473000294,1.0,2.976,3.0,3.0,1.0,500,298,6.2166061010848646,200,95,0.475,150,34,0.22666666666666666
tamsulosin,-0.1448117857142857,280,0.5571428571428572,0.3464285714285714,0.05166,2.084785740182266,1.0,1.5497999999999998,3.0,3.0,1.0,500,284,6.2166061010848646,200,131,0.655,148,48,0.32432432432432434
tramadol,-0.1137842105263158,95,0.5263157894736842,0.47368421052631576,0.02594,2.6408092704170225,1.0,0.7782,0.0,0.0,0.0,500,256,6.2166061010848646,200,138,0.69,150,24,0.16
verapamil,0.09473157894736843,95,0.3684210526315789,0.5263157894736842,0.18195,1.5573895881561555,1.0,5.4585,3.0,3.0,1.0,500,280,6.2166061010848646,163,106,0.6503067484662577,150,13,0.08666666666666667
warfarin,-0.0935,100,0.55,0.35,0.09383,0.10792751262406139,1.0,2.8148999999999997,0.0,0.0,0.0,500,253,6.2166061010848646,200,131,0.655,150,32,0.21333333333333335
zolpidem,-0.01898975265017668,283,0.4628975265017668,0.45936395759717313,0.0376,2.7828942126771183,1.0,1.1280000000000001,0.0,0.0,0.0,500,316,6.2166061010848646,148,113,0.7635135135135135,150,38,0.25333333333333335
