drug_name,avg_sentiment,review_count,pct_negative,pct_positive,sentiment_std,condition_diversity,review_recency,drug_age,is_new_drug,class_ace_inhibitor,class_alpha_blocker,class_analgesic_nsaid,class_antibiotic,class_anticoagulant,class_anticonvulsant,class_antidepressant_other,class_antiplatelet,class_arb,class_benzodiazepine,class_beta_blocker,class_calcium_channel_blocker,class_cardiac_glycoside,class_corticosteroid,class_diabetes_oral,class_diuretic,class_glp1,class_insulin,class_muscle_relaxant,class_opioid,class_ppi,class_respiratory,class_sglt2,class_sleep,class_ssri,class_statin,class_thyroid,price_median_unit,price_cv,generic_available,n_manufacturers,price_30day,price_log,shortage_total,shortage_active,has_active_shortage,adverse_total,adverse_unique,adverse_log,trial_total,trial_completed,trial_completion_rate,pubmed_total,pubmed_recent,pubmed_recency_ratio
diltiazem,-0.34440999999999994,100.0,0.7,0.2,0.5586501994571695,7.0,1.0,42,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30387,1.0917906073220969,1.0,2000.0,9.1161,2.314128214089029,3.0,3.0,1.0,500,346,6.2166061010848646,131,0,0.0,150,13,0.08666666666666667
doxycycline,-0.33895,100.0,0.7,0.3,0.6063702293570365,11.0,1.0,57,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15252,2.8833990006512202,1.0,2000.0,4.5756,1.718399934873594,4.0,4.0,1.0,500,272,6.2166061010848646,200,0,0.0,150,36,0.24
dulaglutide,-0.24968,100.0,0.7,0.3,0.5964849118804347,2.0,1.0,10,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,36.233333333333334,0.0,0.0,1.0,1087.0,6.992096427415888,0.0,0.0,0.0,500,177,6.2166061010848646,134,0,0.0,146,107,0.7328767123287672
empagliflozin,-0.41576,100.0,0.7,0.15,0.5828183539812157,5.0,1.0,10,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,12.306666666666667,0.0,0.0,1.0,369.2,5.914043400139397,0.0,0.0,0.0,500,232,6.2166061010848646,200,0,0.0,150,113,0.7533333333333333
escitalopram,-0.03382046979865772,298.0,0.5033557046979866,0.4597315436241611,0.7305319315728711,0.0,0.9798657718120806,22,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.04625,0.5049583840997603,1.0,2000.0,1.3875,0.8702467933727482,0.0,0.0,0.0,500,311,6.2166061010848646,200,0,0.0,150,63,0.42
fluoxetine,-0.18772499999999998,100.0,0.65,0.35,0.6614804469460296,5.0,1.0,37,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.06602,4.192557647642568,1.0,2000.0,1.9806,1.0921246225325554,0.0,0.0,0.0,500,268,6.2166061010848646,200,0,0.0,150,15,0.1
furosemide,-0.05650500000000001,240.0,0.4125,0.32083333333333336,0.47232813834005527,0.0,0.0875,58,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.05495,0.9084890747056314,1.0,2000.0,1.6484999999999999,0.9739934420024443,20.0,20.0,1.0,500,257,6.2166061010848646,200,0,0.0,150,36,0.24
gabapentin,0.23215882352941175,85.0,0.35294117647058826,0.6470588235294118,0.6248778566922608,4.0,0.23529411764705882,31,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04393,2.608589881672081,1.0,2000.0,1.3178999999999998,0.8406616033484944,0.0,0.0,0.0,500,280,6.2166061010848646,200,0,0.0,150,39,0.26
hydrochlorothiazide,-0.15420999999999999,100.0,0.55,0.4,0.5180412486014268,3.0,1.0,65,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.154,2.8407355354281862,1.0,2000.0,4.62,1.7263316639055997,10.0,10.0,1.0,500,299,6.2166061010848646,200,0,0.0,150,5,0.03333333333333333
hydrocodone,-0.281005,100.0,0.65,0.35,0.6153469830678518,5.0,0.3,81,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.15508,2.775385932534156,1.0,2000.0,4.6524,1.732080233726454,3.0,3.0,1.0,500,334,6.2166061010848646,180,0,0.0,146,45,0.3082191780821918
