drug_name,rating,review_text,condition,date,source,review_id,helpful_votes,scraped_at
metformin,8.7,Excellent,,2023-11-04,webmd,2ecb83a9e474,,2026-03-09T16:40:53.811221
metformin,4.0,"I'm a type 2 diabetic. I was prescribed and been taking metformin since 2004. Lately it's been making me feel weak and very tired all the time. I took it up on myself to discontinue taking metformin, and I can't tell you how very much better I feel. I'm seeing an endocrinologist this week for his input or other alternatives.",,2023-10-23,webmd,a69d44ac8aa9,1,2026-03-09T16:40:53.811648
metformin,3.3,"Dr prescribed Metformin, stated after routine annual blood labs that A1C was up, prediabetic, so add the fact of overweight, kidney stones, gall stones, IBS & with family history of diabetes. Start with 500mg 2x day and build up to 1000 mg 2x day.  After 2 weeks, lost 12 lbs, but the gut wrenching pain, gas, nausea, diarrhea, & now constipation.  Already was on BP and cholesterol meds. So now can't always tell what is causing it, but can because I was feeling quite well til I started taking this ...   RX.  Now I have no appetite, so hard to eat meals, don't drink enough water, due to the gas erupting (both ends), so now getting dehydrated. Trying to eat enough and items that won't cause more gas.  It feels like I am in the original Alien movie, just waiting for it to burst thru my tummy, lower left side hurts the worse with cramping.   But what gets me is we didn't do more tests prior, cuz I learned that stress can also cause A1C to change, and since I had been under alot having to take care of things as my brother passed away in August and taking care of my mother for 2 months, I wasn't necessarily eating the best for 2 months, not meaning bad foods, just skipping too many meals.  So when they state they prescribe this for the better of your health and side effects are suppose to be minimal, I don't agree.  Suppose to go on a group bus trip next month 3-4 hour drive, now I am worried about how will I handle these side effects, as there have been times I feel like I wanted to get to the urgent care or ER, as it hurts that bad.   Read More  Read Less",,2023-10-19,webmd,07b38b64b5c0,1,2026-03-09T16:40:53.812104
metformin,9.3,"I feel better, but now they have to deal tst they're reducing the dosage. I  don't want to be lowered . I am very upset and thinking the worst.",,2023-10-07,webmd,b8dc642630f7,1,2026-03-09T16:40:53.812517
metformin,2.0,"This medication makes me feel awful. Stomach aches, back aches, severe headaches, bad gas and bloated.",,2023-09-13,webmd,acf77fd79fbf,1,2026-03-09T16:40:53.812936
metformin,10.0,"I am overweight and prediabetic. I started a weightloss journey which included better diet, more water and 30+ minutes of exercise 4-5 times a week (just walking). I was down 30 pounds a month ago when I asked my doctor if I could try it to help bring down my diabetes risk. I was taking it with dinner per my doctor's advice. But I kept forgetting it and started taking it at night with all my other meds. I gues I am lucky because I don't think I've had any side-effects. Not sure but I think it di ...  d help me lose 10 more pounds in the month since I started it. But my bowel movements have been fine, no upset stomach, no changes in metal status, literally no changes in anything. I will go back to the doc in mid October and see where my numbers come in for the Pre-Diabetic situation.... so far so good!   Read More  Read Less",,2023-09-07,webmd,f43e213e8922,,2026-03-09T16:40:53.813414
metformin,10.0,So far so good. 39 year old female pre diabetic.  Sugars are usually around 90.  5'3 165 pounds.  For the first time I was able to beat my plateau in awhile.  I'm 164 now after the first week of taking it. My diet has not changed. Mind you I average around 1500 calories a day and intermittent fast 18/6.  Before I couldn't beat it out.  No extra weight gain during the time of the month to my suprise.  I will report back next month and let you know if I lose any more weight and if I will hold onto ...   any weight near ovulation.    Read More  Read Less,,2023-08-03,webmd,09fc90994c8c,1,2026-03-09T16:40:53.813867
metformin,4.0,"The side effects a lone are enough to make you deathly sick.
 Can't go out in the sun because of the reaction I get from it. Lots of stomach issues.  It's horrible.  Have to watch what eat and what other medications you take. The lactic acid build up is enough to make you die. Horrible side of effects.",,2023-06-25,webmd,3fc53188638f,1,2026-03-09T16:40:53.814279
metformin,8.0,"I've been on the medicine for about a month, I take four pills a day 500 mg at dinner. Although I've had some extreme muscle weakness I think overall the side effects haven't been that bad. Yet to see how it affects my sugar and weight.",,2023-05-08,webmd,a1da2a73f954,1,2026-03-09T16:40:53.814687
metformin,2.7,Horrible side effects and have tried medication 3 times never again,,2023-04-11,webmd,9646ce3584ae,1,2026-03-09T16:40:53.815101
metformin,10.0,I have been on metformin (2000mg) since January 2023. I started taking it shortly after a PCOS diagnosis. I have noticed a huge difference. So far I have lost 20lbs and I notice physical symptoms of PCOS such as acne going away! It has been a life saver for me on my journey while TTC baby #2.,,2023-03-22,webmd,243f37e04fa2,1,2026-03-09T16:40:53.815518
